ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,TICKET_LOCATION_STREET,VIOLATION DESCRIPTION,TIME,DOW
4/8/16,15:28,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Fri
4/7/16,17:19,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Thu
4/7/16,17:21,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Thu
4/7/16,17:22,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Thu
1/25/16,12:50,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Mon
3/9/16,10:05,$35.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,10,Wed
12/1/15,12:57,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",12,Tue
12/1/15,13:00,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",13,Tue
2/23/16,12:10,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Tue
10/28/15,10:14,$35.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,10,Wed
2/8/16,15:09,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Mon
4/5/16,17:07,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Tue
5/5/16,15:00,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Thu
3/1/17,12:55,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Wed
4/5/16,17:08,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Tue
4/7/16,17:18,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Thu
3/2/16,11:52,$35.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,11,Wed
2/8/16,12:05,$35.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,12,Mon
1/20/16,13:08,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",13,Wed
5/5/16,16:00,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Thu
3/2/16,11:50,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Wed
3/2/16,11:48,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Wed
2/25/16,11:49,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Thu
10/28/15,10:16,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Wed
10/28/15,10:18,$35.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,10,Wed
5/26/16,15:48,$35.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,15,Thu
6/22/16,11:45,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Wed
2/23/17,14:32,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",14,Thu
2/23/17,14:31,$100.00,LOT 56 - MILLRACE,MISUSE OF PERMIT,14,Thu
