ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,TICKET_LOCATION_STREET,VIOLATION DESCRIPTION,TIME,DOW
4/21/16,8:30,$10.00,LOT 42 - 12TH W OF KIN,"PERMIT ISSUED, NOT DISPLAYED",8,Thu
2/25/16,8:06,$40.00,LOT 42 - 12TH W OF KIN,NO UO PERMIT,8,Thu
2/25/16,8:02,$150.00,LOT 42 - 12TH W OF KIN,RESERVE & TOW,8,Thu
4/26/16,8:39,$0.00,LOT 42 - 12TH W OF KIN,"PERMIT ISSUED, NOT DISPLAYED",8,Tue
2/3/16,11:12,$40.00,LOT 42 - 12TH W OF KIN,NO UO PERMIT,11,Wed
3/11/16,14:17,$40.00,LOT 42 - 12TH W OF KIN,NO UO PERMIT,14,Fri
5/4/16,11:30,$40.00,LOT 42 - 12TH W OF KIN,NO UO PERMIT,11,Wed
2/24/17,13:08,$0.00,LOT 42 - 12TH W OF KIN,"PERMIT ISSUED, NOT DISPLAYED",13,Fri
2/24/17,13:10,$0.00,LOT 42 - 12TH W OF KIN,MISUSE OF PERMIT,13,Fri
1/14/16,16:12,$35.00,LOT 42 - 12TH W OF KIN,NO PERMIT FOR AREA,16,Thu
12/10/15,15:41,$40.00,LOT 42 - 12TH W OF KIN,NO UO PERMIT,15,Thu
12/4/15,8:03,$40.00,LOT 42 - 12TH W OF KIN,NO UO PERMIT,8,Fri
3/16/16,11:04,$40.00,LOT 42 - 12TH W OF KIN,NO UO PERMIT,11,Wed
3/23/16,9:40,$40.00,LOT 42 - 12TH W OF KIN,NO UO PERMIT,9,Wed
2/21/17,10:16,$35.00,LOT 42 - 12TH W OF KIN,NO PERMIT FOR AREA,10,Tue
2/25/16,13:17,$150.00,LOT 42 - 12TH W OF KIN,RESERVE & TOW,13,Thu
2/25/16,13:19,$0.00,LOT 42 - 12TH W OF KIN,MISUSE OF PERMIT,13,Thu
5/31/16,13:23,$150.00,LOT 42 - 12TH W OF KIN,RESERVE & TOW,13,Tue
1/20/16,14:29,$40.00,LOT 42 - 12TH W OF KIN,NO UO PERMIT,14,Wed
3/15/16,10:14,$40.00,LOT 42 - 12TH W OF KIN,NO UO PERMIT,10,Tue
4/27/16,4:25,$35.00,LOT 42 - 12TH W OF KIN,NO OVERNIGHT PARKING,4,Wed
4/27/16,4:26,$35.00,LOT 42 - 12TH W OF KIN,NO OVERNIGHT PARKING,4,Wed
4/19/16,8:58,$40.00,LOT 42 - 12TH W OF KIN,NO UO PERMIT,8,Tue
12/10/15,15:41,$0.00,LOT 42 - 12TH W OF KIN,OVERLINE/TAKE THE SPACE OF,15,Thu
3/16/16,11:01,$40.00,LOT 42 - 12TH W OF KIN,NO UO PERMIT,11,Wed
