ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,TICKET_LOCATION_STREET,VIOLATION DESCRIPTION,TIME,DOW
5/2/16,10:42,$0.00,LOT 16A - FAC/STAFF LOT,"PERMIT ISSUED, NOT DISPLAYED",10,Mon
4/20/16,16:44,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,16,Wed
4/20/16,16:39,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,16,Wed
4/8/16,16:09,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,16,Fri
4/8/16,16:11,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,16,Fri
3/18/16,4:20,$35.00,LOT 16A - FAC/STAFF LOT,NO OVERNIGHT PARKING,4,Fri
1/11/16,8:12,$35.00,LOT 16A - FAC/STAFF LOT,NO PERMIT FOR AREA,8,Mon
2/19/16,16:48,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,16,Fri
3/18/16,4:25,$35.00,LOT 16A - FAC/STAFF LOT,NO OVERNIGHT PARKING,4,Fri
4/6/16,14:11,$10.00,LOT 16A - FAC/STAFF LOT,"PERMIT ISSUED, NOT DISPLAYED",14,Wed
4/8/16,16:13,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,16,Fri
3/31/16,11:25,$35.00,LOT 16A - FAC/STAFF LOT,NO PERMIT FOR AREA,11,Thu
3/30/16,10:35,$35.00,LOT 16A - FAC/STAFF LOT,AREA NOT DESIGNATED,10,Wed
4/6/16,14:15,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,14,Wed
3/31/16,11:21,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,11,Thu
3/16/16,8:18,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,8,Wed
3/16/16,8:20,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,8,Wed
3/16/16,8:27,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,8,Wed
3/18/16,4:26,$35.00,LOT 16A - FAC/STAFF LOT,NO OVERNIGHT PARKING,4,Fri
2/19/16,16:51,$35.00,LOT 16A - FAC/STAFF LOT,NO PERMIT FOR AREA,16,Fri
4/18/16,15:52,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,15,Mon
1/11/16,8:11,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,8,Mon
1/11/16,8:07,$10.00,LOT 16A - FAC/STAFF LOT,"PERMIT ISSUED, NOT DISPLAYED",8,Mon
3/18/16,4:23,$35.00,LOT 16A - FAC/STAFF LOT,NO OVERNIGHT PARKING,4,Fri
2/19/16,16:46,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,16,Fri
2/19/16,16:50,$40.00,LOT 16A - FAC/STAFF LOT,NO UO PERMIT,16,Fri
